trip,mark,length,weight,species,year,site,river
1,0,327.66,408.15,RBT,2000,3Fk,Ruby
1,0,292.1,272.1,RBT,2000,3Fk,Ruby
1,0,226.06,126.98,RBT,2000,3Fk,Ruby
1,0,269.24,190.47,RBT,2000,3Fk,Ruby
1,0,205.74,90.7,RBT,2000,3Fk,Ruby
1,0,185.42,63.49,RBT,2000,3Fk,Ruby
1,0,177.8,63.49,RBT,2000,3Fk,Ruby
1,0,142.24,36.28,RBT,2000,3Fk,Ruby
1,0,144.78,36.28,RBT,2000,3Fk,Ruby
1,0,132.08,31.745,RBT,2000,3Fk,Ruby
1,0,360.68,498.85,RBT,2000,3Fk,Ruby
1,0,355.6,535.13,RBT,2000,3Fk,Ruby
1,0,370.84,526.06,RBT,2000,3Fk,Ruby
1,0,269.24,217.68,RBT,2000,3Fk,Ruby
1,0,327.66,367.335,RBT,2000,3Fk,Ruby
1,0,320.04,362.8,RBT,2000,3Fk,Ruby
1,0,358.14,498.85,RBT,2000,3Fk,Ruby
1,0,370.84,571.41,RBT,2000,3Fk,Ruby
1,0,304.8,281.17,RBT,2000,3Fk,Ruby
1,0,304.8,272.1,RBT,2000,3Fk,Ruby
1,0,353.06,480.71,RBT,2000,3Fk,Ruby
1,0,261.62,217.68,RBT,2000,3Fk,Ruby
1,0,289.56,263.03,RBT,2000,3Fk,Ruby
1,0,314.96,281.17,RBT,2000,3Fk,Ruby
1,0,320.04,353.73,RBT,2000,3Fk,Ruby
1,0,317.5,390.01,RBT,2000,3Fk,Ruby
1,0,266.7,181.4,RBT,2000,3Fk,Ruby
1,0,340.36,367.335,RBT,2000,3Fk,Ruby
1,0,223.52,117.91,RBT,2000,3Fk,Ruby
1,0,218.44,99.77,RBT,2000,3Fk,Ruby
1,0,251.46,176.865,RBT,2000,3Fk,Ruby
1,0,266.7,204.075,RBT,2000,3Fk,Ruby
1,0,271.78,204.075,RBT,2000,3Fk,Ruby
1,0,289.56,272.1,RBT,2000,3Fk,Ruby
1,0,304.8,290.24,RBT,2000,3Fk,Ruby
1,0,238.76,163.26,RBT,2000,3Fk,Ruby
1,0,292.1,235.82,RBT,2000,3Fk,Ruby
1,0,251.46,176.865,RBT,2000,3Fk,Ruby
1,0,254,163.26,RBT,2000,3Fk,Ruby
1,0,223.52,136.05,RBT,2000,3Fk,Ruby
1,0,259.08,181.4,RBT,2000,3Fk,Ruby
1,0,317.5,344.66,RBT,2000,3Fk,Ruby
1,0,312.42,353.73,RBT,2000,3Fk,Ruby
1,0,304.8,299.31,RBT,2000,3Fk,Ruby
1,0,198.12,90.7,RBT,2000,3Fk,Ruby
1,0,195.58,90.7,RBT,2000,3Fk,Ruby
1,0,165.1,72.56,RBT,2000,3Fk,Ruby
1,0,236.22,136.05,RBT,2000,3Fk,Ruby
1,0,228.6,131.515,RBT,2000,3Fk,Ruby
1,0,213.36,117.91,RBT,2000,3Fk,Ruby
1,0,147.32,45.35,RBT,2000,3Fk,Ruby
1,0,144.78,45.35,RBT,2000,3Fk,Ruby
1,0,149.86,36.28,RBT,2000,3Fk,Ruby
1,0,134.62,36.28,RBT,2000,3Fk,Ruby
1,0,114.3,27.21,RBT,2000,3Fk,Ruby
1,0,261.62,190.47,RBT,2000,3Fk,Ruby
1,0,320.04,331.055,RBT,2000,3Fk,Ruby
1,0,259.08,163.26,RBT,2000,3Fk,Ruby
1,0,299.72,281.17,RBT,2000,3Fk,Ruby
1,0,193.04,63.49,RBT,2000,3Fk,Ruby
1,0,266.7,195.005,RBT,2000,3Fk,Ruby
1,0,228.6,113.375,RBT,2000,3Fk,Ruby
1,0,254,154.19,RBT,2000,3Fk,Ruby
1,0,223.52,126.98,RBT,2000,3Fk,Ruby
1,0,269.24,172.33,RBT,2000,3Fk,Ruby
1,0,152.4,45.35,RBT,2000,3Fk,Ruby
1,0,223.52,99.77,RBT,2000,3Fk,Ruby
1,0,203.2,86.165,RBT,2000,3Fk,Ruby
1,0,317.5,353.73,RBT,2000,3Fk,Ruby
1,0,274.32,213.145,RBT,2000,3Fk,Ruby
1,0,195.58,77.095,RBT,2000,3Fk,Ruby
1,0,220.98,108.84,RBT,2000,3Fk,Ruby
1,0,226.06,117.91,RBT,2000,3Fk,Ruby
1,0,297.18,231.285,RBT,2000,3Fk,Ruby
1,0,335.28,462.57,RBT,2000,3Fk,Ruby
1,0,312.42,308.38,RBT,2000,3Fk,Ruby
1,0,307.34,290.24,RBT,2000,3Fk,Ruby
1,0,248.92,145.12,RBT,2000,3Fk,Ruby
1,0,223.52,113.375,RBT,2000,3Fk,Ruby
1,0,256.54,199.54,RBT,2000,3Fk,Ruby
1,0,238.76,140.585,RBT,2000,3Fk,Ruby
1,0,261.62,190.47,RBT,2000,3Fk,Ruby
1,0,259.08,158.725,RBT,2000,3Fk,Ruby
1,0,208.28,117.91,RBT,2000,3Fk,Ruby
1,0,233.68,126.98,RBT,2000,3Fk,Ruby
1,0,165.1,45.35,RBT,2000,3Fk,Ruby
1,0,134.62,31.745,RBT,2000,3Fk,Ruby
1,0,152.4,36.28,RBT,2000,3Fk,Ruby
1,0,152.4,36.28,RBT,2000,3Fk,Ruby
1,0,139.7,27.21,RBT,2000,3Fk,Ruby
1,0,187.96,63.49,RBT,2000,3Fk,Ruby
1,0,254,154.19,RBT,2000,3Fk,Ruby
1,0,195.58,72.56,RBT,2000,3Fk,Ruby
1,0,299.72,267.565,RBT,2000,3Fk,Ruby
1,0,335.28,435.36,RBT,2000,3Fk,Ruby
1,0,320.04,362.8,RBT,2000,3Fk,Ruby
1,0,279.4,226.75,RBT,2000,3Fk,Ruby
1,0,231.14,145.12,RBT,2000,3Fk,Ruby
1,0,223.52,117.91,RBT,2000,3Fk,Ruby
1,0,218.44,104.305,RBT,2000,3Fk,Ruby
1,0,154.94,36.28,RBT,2000,3Fk,Ruby
1,0,167.64,63.49,RBT,2000,3Fk,Ruby
1,0,139.7,31.745,RBT,2000,3Fk,Ruby
1,0,144.78,31.745,RBT,2000,3Fk,Ruby
1,0,160.02,31.745,RBT,2000,3Fk,Ruby
1,0,142.24,22.675,RBT,2000,3Fk,Ruby
2,0,261.62,185.935,RBT,2000,3Fk,Ruby
2,1,210.82,NA,RBT,2000,3Fk,Ruby
2,1,223.52,NA,RBT,2000,3Fk,Ruby
2,0,203.2,72.56,RBT,2000,3Fk,Ruby
2,0,243.84,149.655,RBT,2000,3Fk,Ruby
2,0,312.42,308.38,RBT,2000,3Fk,Ruby
2,1,254,NA,RBT,2000,3Fk,Ruby
2,0,129.54,45.35,RBT,2000,3Fk,Ruby
2,1,134.62,NA,RBT,2000,3Fk,Ruby
2,1,177.8,NA,RBT,2000,3Fk,Ruby
2,0,241.3,145.12,RBT,2000,3Fk,Ruby
2,0,243.84,136.05,RBT,2000,3Fk,Ruby
2,0,233.68,126.98,RBT,2000,3Fk,Ruby
2,0,203.2,86.165,RBT,2000,3Fk,Ruby
2,0,220.98,90.7,RBT,2000,3Fk,Ruby
2,1,279.4,NA,RBT,2000,3Fk,Ruby
2,0,218.44,95.235,RBT,2000,3Fk,Ruby
2,0,259.08,172.33,RBT,2000,3Fk,Ruby
2,1,358.14,NA,RBT,2000,3Fk,Ruby
2,0,320.04,362.8,RBT,2000,3Fk,Ruby
2,0,281.94,217.68,RBT,2000,3Fk,Ruby
2,0,261.62,226.75,RBT,2000,3Fk,Ruby
2,0,248.92,136.05,RBT,2000,3Fk,Ruby
2,1,307.34,NA,RBT,2000,3Fk,Ruby
2,1,251.46,NA,RBT,2000,3Fk,Ruby
2,0,259.08,149.655,RBT,2000,3Fk,Ruby
2,1,294.64,NA,RBT,2000,3Fk,Ruby
2,1,236.22,NA,RBT,2000,3Fk,Ruby
2,1,231.14,NA,RBT,2000,3Fk,Ruby
2,1,248.92,NA,RBT,2000,3Fk,Ruby
2,0,220.98,99.77,RBT,2000,3Fk,Ruby
2,0,233.68,117.91,RBT,2000,3Fk,Ruby
2,0,228.6,108.84,RBT,2000,3Fk,Ruby
2,0,213.36,90.7,RBT,2000,3Fk,Ruby
2,0,259.08,163.26,RBT,2000,3Fk,Ruby
2,0,246.38,136.05,RBT,2000,3Fk,Ruby
2,0,218.44,136.05,RBT,2000,3Fk,Ruby
2,0,193.04,63.49,RBT,2000,3Fk,Ruby
2,0,218.44,95.235,RBT,2000,3Fk,Ruby
2,0,175.26,36.28,RBT,2000,3Fk,Ruby
2,0,190.5,72.56,RBT,2000,3Fk,Ruby
2,1,142.24,NA,RBT,2000,3Fk,Ruby
2,1,139.7,NA,RBT,2000,3Fk,Ruby
2,1,137.16,NA,RBT,2000,3Fk,Ruby
2,1,327.66,NA,RBT,2000,3Fk,Ruby
2,0,309.88,358.265,RBT,2000,3Fk,Ruby
2,0,281.94,240.355,RBT,2000,3Fk,Ruby
2,0,276.86,244.89,RBT,2000,3Fk,Ruby
2,0,279.4,213.145,RBT,2000,3Fk,Ruby
2,0,274.32,190.47,RBT,2000,3Fk,Ruby
2,1,279.4,NA,RBT,2000,3Fk,Ruby
2,1,259.08,NA,RBT,2000,3Fk,Ruby
2,1,238.76,NA,RBT,2000,3Fk,Ruby
2,0,226.06,117.91,RBT,2000,3Fk,Ruby
2,0,238.76,145.12,RBT,2000,3Fk,Ruby
2,1,256.54,NA,RBT,2000,3Fk,Ruby
2,0,259.08,172.33,RBT,2000,3Fk,Ruby
2,0,226.06,113.375,RBT,2000,3Fk,Ruby
2,0,243.84,149.655,RBT,2000,3Fk,Ruby
2,0,231.14,126.98,RBT,2000,3Fk,Ruby
2,0,218.44,117.91,RBT,2000,3Fk,Ruby
2,1,223.52,NA,RBT,2000,3Fk,Ruby
2,0,213.36,108.84,RBT,2000,3Fk,Ruby
2,0,215.9,104.305,RBT,2000,3Fk,Ruby
2,0,220.98,108.84,RBT,2000,3Fk,Ruby
2,0,200.66,86.165,RBT,2000,3Fk,Ruby
2,0,215.9,108.84,RBT,2000,3Fk,Ruby
2,0,203.2,90.7,RBT,2000,3Fk,Ruby
2,0,187.96,81.63,RBT,2000,3Fk,Ruby
2,0,195.58,81.63,RBT,2000,3Fk,Ruby
2,1,193.04,NA,RBT,2000,3Fk,Ruby
2,0,167.64,63.49,RBT,2000,3Fk,Ruby
2,1,165.1,NA,RBT,2000,3Fk,Ruby
2,0,152.4,45.35,RBT,2000,3Fk,Ruby
2,1,152.4,NA,RBT,2000,3Fk,Ruby
2,0,139.7,22.675,RBT,2000,3Fk,Ruby
2,0,114.3,13.605,RBT,2000,3Fk,Ruby
2,1,223.52,NA,RBT,2000,3Fk,Ruby
2,0,165.1,45.35,RBT,2000,3Fk,Ruby
2,1,144.78,NA,RBT,2000,3Fk,Ruby
2,1,154.94,NA,RBT,2000,3Fk,Ruby
2,0,119.38,18.14,RBT,2000,3Fk,Ruby
2,0,185.42,54.42,RBT,2000,3Fk,Ruby
2,0,187.96,68.025,RBT,2000,3Fk,Ruby
2,0,226.06,99.77,RBT,2000,3Fk,Ruby
2,0,259.08,181.4,RBT,2000,3Fk,Ruby
2,1,238.76,NA,RBT,2000,3Fk,Ruby
2,0,254,181.4,RBT,2000,3Fk,Ruby
2,1,215.9,NA,RBT,2000,3Fk,Ruby
2,0,314.96,281.17,RBT,2000,3Fk,Ruby
1,0,289.56,185.935,RBT,2000,Ghorn,Ruby
1,0,256.54,154.19,RBT,2000,Ghorn,Ruby
1,0,320.04,299.31,RBT,2000,Ghorn,Ruby
1,0,309.88,272.1,RBT,2000,Ghorn,Ruby
1,0,327.66,272.1,RBT,2000,Ghorn,Ruby
1,0,304.8,263.03,RBT,2000,Ghorn,Ruby
1,0,302.26,253.96,RBT,2000,Ghorn,Ruby
1,0,340.36,353.73,RBT,2000,Ghorn,Ruby
1,0,307.34,263.03,RBT,2000,Ghorn,Ruby
1,0,302.26,263.03,RBT,2000,Ghorn,Ruby
1,0,325.12,321.985,RBT,2000,Ghorn,Ruby
1,0,297.18,217.68,RBT,2000,Ghorn,Ruby
1,0,287.02,204.075,RBT,2000,Ghorn,Ruby
1,0,287.02,226.75,RBT,2000,Ghorn,Ruby
1,0,327.66,317.45,RBT,2000,Ghorn,Ruby
1,0,330.2,294.775,RBT,2000,Ghorn,Ruby
1,0,276.86,181.4,RBT,2000,Ghorn,Ruby
1,0,320.04,290.24,RBT,2000,Ghorn,Ruby
1,0,246.38,126.98,RBT,2000,Ghorn,Ruby
1,0,259.08,136.05,RBT,2000,Ghorn,Ruby
1,0,307.34,299.31,RBT,2000,Ghorn,Ruby
1,0,325.12,303.845,RBT,2000,Ghorn,Ruby
1,0,337.82,380.94,RBT,2000,Ghorn,Ruby
1,0,292.1,226.75,RBT,2000,Ghorn,Ruby
1,0,368.3,435.36,RBT,2000,Ghorn,Ruby
1,0,292.1,235.82,RBT,2000,Ghorn,Ruby
1,0,304.8,267.565,RBT,2000,Ghorn,Ruby
1,0,370.84,476.175,RBT,2000,Ghorn,Ruby
1,0,284.48,199.54,RBT,2000,Ghorn,Ruby
1,0,302.26,290.24,RBT,2000,Ghorn,Ruby
1,0,287.02,208.61,RBT,2000,Ghorn,Ruby
1,0,284.48,190.47,RBT,2000,Ghorn,Ruby
1,0,312.42,258.495,RBT,2000,Ghorn,Ruby
1,0,299.72,281.17,RBT,2000,Ghorn,Ruby
1,0,337.82,362.8,RBT,2000,Ghorn,Ruby
1,0,294.64,240.355,RBT,2000,Ghorn,Ruby
1,0,299.72,253.96,RBT,2000,Ghorn,Ruby
1,0,259.08,181.4,RBT,2000,Ghorn,Ruby
1,0,284.48,208.61,RBT,2000,Ghorn,Ruby
1,0,289.56,199.54,RBT,2000,Ghorn,Ruby
1,0,274.32,222.215,RBT,2000,Ghorn,Ruby
1,0,287.02,226.75,RBT,2000,Ghorn,Ruby
1,0,259.08,172.33,RBT,2000,Ghorn,Ruby
1,0,256.54,176.865,RBT,2000,Ghorn,Ruby
1,0,261.62,172.33,RBT,2000,Ghorn,Ruby
1,0,264.16,181.4,RBT,2000,Ghorn,Ruby
1,0,279.4,290.24,RBT,2000,Ghorn,Ruby
1,0,299.72,244.89,RBT,2000,Ghorn,Ruby
1,0,266.7,172.33,RBT,2000,Ghorn,Ruby
1,0,292.1,253.96,RBT,2000,Ghorn,Ruby
1,0,320.04,312.915,RBT,2000,Ghorn,Ruby
1,0,284.48,244.89,RBT,2000,Ghorn,Ruby
1,0,299.72,244.89,RBT,2000,Ghorn,Ruby
1,0,297.18,222.215,RBT,2000,Ghorn,Ruby
1,0,302.26,272.1,RBT,2000,Ghorn,Ruby
1,0,254,140.585,RBT,2000,Ghorn,Ruby
1,0,248.92,154.19,RBT,2000,Ghorn,Ruby
1,0,259.08,122.445,RBT,2000,Ghorn,Ruby
1,0,271.78,185.935,RBT,2000,Ghorn,Ruby
1,0,304.8,272.1,RBT,2000,Ghorn,Ruby
1,0,261.62,176.865,RBT,2000,Ghorn,Ruby
1,0,279.4,199.54,RBT,2000,Ghorn,Ruby
1,0,284.48,217.68,RBT,2000,Ghorn,Ruby
1,0,259.08,176.865,RBT,2000,Ghorn,Ruby
1,0,210.82,86.165,RBT,2000,Ghorn,Ruby
1,0,378.46,544.2,RBT,2000,Ghorn,Ruby
1,0,297.18,263.03,RBT,2000,Ghorn,Ruby
1,0,281.94,199.54,RBT,2000,Ghorn,Ruby
1,0,337.82,367.335,RBT,2000,Ghorn,Ruby
1,0,297.18,235.82,RBT,2000,Ghorn,Ruby
1,0,266.7,172.33,RBT,2000,Ghorn,Ruby
1,0,284.48,204.075,RBT,2000,Ghorn,Ruby
1,0,304.8,263.03,RBT,2000,Ghorn,Ruby
1,0,302.26,272.1,RBT,2000,Ghorn,Ruby
1,0,327.66,253.96,RBT,2000,Ghorn,Ruby
1,0,304.8,231.285,RBT,2000,Ghorn,Ruby
1,0,292.1,222.215,RBT,2000,Ghorn,Ruby
1,0,264.16,190.47,RBT,2000,Ghorn,Ruby
1,0,284.48,213.145,RBT,2000,Ghorn,Ruby
1,0,284.48,208.61,RBT,2000,Ghorn,Ruby
1,0,299.72,263.03,RBT,2000,Ghorn,Ruby
1,0,297.18,244.89,RBT,2000,Ghorn,Ruby
1,0,261.62,163.26,RBT,2000,Ghorn,Ruby
1,0,304.8,272.1,RBT,2000,Ghorn,Ruby
1,0,335.28,340.125,RBT,2000,Ghorn,Ruby
1,0,243.84,136.05,RBT,2000,Ghorn,Ruby
1,0,261.62,163.26,RBT,2000,Ghorn,Ruby
1,0,284.48,213.145,RBT,2000,Ghorn,Ruby
1,0,233.68,126.98,RBT,2000,Ghorn,Ruby
1,0,294.64,217.68,RBT,2000,Ghorn,Ruby
1,0,309.88,281.17,RBT,2000,Ghorn,Ruby
1,0,307.34,267.565,RBT,2000,Ghorn,Ruby
1,0,294.64,226.75,RBT,2000,Ghorn,Ruby
1,0,297.18,226.75,RBT,2000,Ghorn,Ruby
1,0,264.16,163.26,RBT,2000,Ghorn,Ruby
1,0,320.04,317.45,RBT,2000,Ghorn,Ruby
1,0,309.88,244.89,RBT,2000,Ghorn,Ruby
1,0,287.02,217.68,RBT,2000,Ghorn,Ruby
1,0,289.56,231.285,RBT,2000,Ghorn,Ruby
1,0,353.06,408.15,RBT,2000,Ghorn,Ruby
1,0,294.64,240.355,RBT,2000,Ghorn,Ruby
1,0,254,149.655,RBT,2000,Ghorn,Ruby
1,0,307.34,281.17,RBT,2000,Ghorn,Ruby
1,0,264.16,190.47,RBT,2000,Ghorn,Ruby
1,0,259.08,158.725,RBT,2000,Ghorn,Ruby
1,0,269.24,163.26,RBT,2000,Ghorn,Ruby
1,0,342.9,371.87,RBT,2000,Ghorn,Ruby
1,0,276.86,181.4,RBT,2000,Ghorn,Ruby
1,0,299.72,253.96,RBT,2000,Ghorn,Ruby
1,0,304.8,272.1,RBT,2000,Ghorn,Ruby
1,0,259.08,149.655,RBT,2000,Ghorn,Ruby
1,0,304.8,244.89,RBT,2000,Ghorn,Ruby
1,0,320.04,290.24,RBT,2000,Ghorn,Ruby
1,0,307.34,253.96,RBT,2000,Ghorn,Ruby
1,0,307.34,290.24,RBT,2000,Ghorn,Ruby
1,0,269.24,181.4,RBT,2000,Ghorn,Ruby
1,0,264.16,154.19,RBT,2000,Ghorn,Ruby
1,0,312.42,263.03,RBT,2000,Ghorn,Ruby
1,0,294.64,235.82,RBT,2000,Ghorn,Ruby
1,0,269.24,172.33,RBT,2000,Ghorn,Ruby
1,0,210.82,90.7,RBT,2000,Ghorn,Ruby
1,0,269.24,163.26,RBT,2000,Ghorn,Ruby
1,0,304.8,272.1,RBT,2000,Ghorn,Ruby
1,0,271.78,172.33,RBT,2000,Ghorn,Ruby
1,0,312.42,285.705,RBT,2000,Ghorn,Ruby
1,0,309.88,385.475,RBT,2000,Ghorn,Ruby
1,0,279.4,181.4,RBT,2000,Ghorn,Ruby
1,0,276.86,181.4,RBT,2000,Ghorn,Ruby
1,0,223.52,108.84,RBT,2000,Ghorn,Ruby
1,0,307.34,263.03,RBT,2000,Ghorn,Ruby
2,0,259.08,145.12,RBT,2000,Ghorn,Ruby
2,0,269.24,190.47,RBT,2000,Ghorn,Ruby
2,0,297.18,181.4,RBT,2000,Ghorn,Ruby
2,0,274.32,163.26,RBT,2000,Ghorn,Ruby
2,0,289.56,172.33,RBT,2000,Ghorn,Ruby
2,1,302.26,NA,RBT,2000,Ghorn,Ruby
2,0,309.88,272.1,RBT,2000,Ghorn,Ruby
2,0,261.62,163.26,RBT,2000,Ghorn,Ruby
2,0,238.76,108.84,RBT,2000,Ghorn,Ruby
2,0,304.8,290.24,RBT,2000,Ghorn,Ruby
2,0,266.7,145.12,RBT,2000,Ghorn,Ruby
2,0,297.18,217.68,RBT,2000,Ghorn,Ruby
2,0,284.48,172.33,RBT,2000,Ghorn,Ruby
2,0,274.32,176.865,RBT,2000,Ghorn,Ruby
2,0,248.92,154.19,RBT,2000,Ghorn,Ruby
2,0,261.62,154.19,RBT,2000,Ghorn,Ruby
2,0,274.32,154.19,RBT,2000,Ghorn,Ruby
2,1,320.04,NA,RBT,2000,Ghorn,Ruby
2,1,284.48,NA,RBT,2000,Ghorn,Ruby
2,0,281.94,208.61,RBT,2000,Ghorn,Ruby
2,1,302.26,NA,RBT,2000,Ghorn,Ruby
2,1,274.32,NA,RBT,2000,Ghorn,Ruby
2,1,259.08,NA,RBT,2000,Ghorn,Ruby
2,0,292.1,217.68,RBT,2000,Ghorn,Ruby
2,0,246.38,145.12,RBT,2000,Ghorn,Ruby
2,0,350.52,421.755,RBT,2000,Ghorn,Ruby
2,1,279.4,NA,RBT,2000,Ghorn,Ruby
2,1,294.64,NA,RBT,2000,Ghorn,Ruby
2,0,287.02,208.61,RBT,2000,Ghorn,Ruby
2,1,370.84,NA,RBT,2000,Ghorn,Ruby
2,1,284.48,NA,RBT,2000,Ghorn,Ruby
2,0,373.38,390.01,RBT,2000,Ghorn,Ruby
2,0,388.62,485.245,RBT,2000,Ghorn,Ruby
2,0,279.4,222.215,RBT,2000,Ghorn,Ruby
2,1,327.66,NA,RBT,2000,Ghorn,Ruby
2,0,312.42,281.17,RBT,2000,Ghorn,Ruby
2,1,320.04,NA,RBT,2000,Ghorn,Ruby
2,1,271.78,NA,RBT,2000,Ghorn,Ruby
2,1,292.1,NA,RBT,2000,Ghorn,Ruby
2,1,271.78,NA,RBT,2000,Ghorn,Ruby
2,1,289.56,NA,RBT,2000,Ghorn,Ruby
2,1,284.48,NA,RBT,2000,Ghorn,Ruby
2,1,266.7,NA,RBT,2000,Ghorn,Ruby
2,1,287.02,NA,RBT,2000,Ghorn,Ruby
2,1,281.94,NA,RBT,2000,Ghorn,Ruby
2,0,269.24,199.54,RBT,2000,Ghorn,Ruby
2,0,281.94,190.47,RBT,2000,Ghorn,Ruby
2,1,276.86,NA,RBT,2000,Ghorn,Ruby
2,0,271.78,172.33,RBT,2000,Ghorn,Ruby
2,1,264.16,NA,RBT,2000,Ghorn,Ruby
2,1,259.08,NA,RBT,2000,Ghorn,Ruby
2,0,271.78,176.865,RBT,2000,Ghorn,Ruby
2,0,243.84,136.05,RBT,2000,Ghorn,Ruby
2,0,251.46,149.655,RBT,2000,Ghorn,Ruby
2,1,259.08,NA,RBT,2000,Ghorn,Ruby
2,0,254,131.515,RBT,2000,Ghorn,Ruby
2,1,248.92,NA,RBT,2000,Ghorn,Ruby
2,0,248.92,145.12,RBT,2000,Ghorn,Ruby
2,0,238.76,145.12,RBT,2000,Ghorn,Ruby
2,0,241.3,136.05,RBT,2000,Ghorn,Ruby
2,1,337.82,NA,RBT,2000,Ghorn,Ruby
2,0,307.34,294.775,RBT,2000,Ghorn,Ruby
2,0,401.32,526.06,RBT,2000,Ghorn,Ruby
2,0,393.7,489.78,RBT,2000,Ghorn,Ruby
2,0,317.5,281.17,RBT,2000,Ghorn,Ruby
2,0,327.66,312.915,RBT,2000,Ghorn,Ruby
2,0,363.22,426.29,RBT,2000,Ghorn,Ruby
2,0,337.82,362.8,RBT,2000,Ghorn,Ruby
2,0,368.3,485.245,RBT,2000,Ghorn,Ruby
2,0,309.88,272.1,RBT,2000,Ghorn,Ruby
2,0,297.18,235.82,RBT,2000,Ghorn,Ruby
2,0,276.86,213.145,RBT,2000,Ghorn,Ruby
2,0,284.48,226.75,RBT,2000,Ghorn,Ruby
2,0,271.78,190.47,RBT,2000,Ghorn,Ruby
2,0,246.38,126.98,RBT,2000,Ghorn,Ruby
2,0,279.4,208.61,RBT,2000,Ghorn,Ruby
2,0,284.48,204.075,RBT,2000,Ghorn,Ruby
2,1,287.02,NA,RBT,2000,Ghorn,Ruby
2,0,314.96,299.31,RBT,2000,Ghorn,Ruby
2,0,287.02,217.68,RBT,2000,Ghorn,Ruby
2,1,261.62,NA,RBT,2000,Ghorn,Ruby
2,1,284.48,NA,RBT,2000,Ghorn,Ruby
2,1,302.26,NA,RBT,2000,Ghorn,Ruby
2,0,297.18,163.26,RBT,2000,Ghorn,Ruby
2,0,294.64,240.355,RBT,2000,Ghorn,Ruby
2,1,256.54,NA,RBT,2000,Ghorn,Ruby
2,0,233.68,117.91,RBT,2000,Ghorn,Ruby
2,1,304.8,NA,RBT,2000,Ghorn,Ruby
2,1,347.98,NA,RBT,2000,Ghorn,Ruby
2,0,340.36,335.59,RBT,2000,Ghorn,Ruby
2,0,370.84,417.22,RBT,2000,Ghorn,Ruby
2,0,287.02,199.54,RBT,2000,Ghorn,Ruby
2,1,299.72,NA,RBT,2000,Ghorn,Ruby
2,0,353.06,408.15,RBT,2000,Ghorn,Ruby
2,0,289.56,199.54,RBT,2000,Ghorn,Ruby
2,1,292.1,NA,RBT,2000,Ghorn,Ruby
2,0,238.76,126.98,RBT,2000,Ghorn,Ruby
2,1,276.86,NA,RBT,2000,Ghorn,Ruby
2,1,292.1,NA,RBT,2000,Ghorn,Ruby
2,0,274.32,208.61,RBT,2000,Ghorn,Ruby
2,1,294.64,NA,RBT,2000,Ghorn,Ruby
2,0,226.06,117.91,RBT,2000,Ghorn,Ruby
2,0,284.48,217.68,RBT,2000,Ghorn,Ruby
2,0,289.56,253.96,RBT,2000,Ghorn,Ruby
2,0,320.04,272.1,RBT,2000,Ghorn,Ruby
2,0,358.14,385.475,RBT,2000,Ghorn,Ruby
2,0,332.74,385.475,RBT,2000,Ghorn,Ruby
1,0,330.2,399.08,RBT,2000,Vig,Ruby
1,0,314.96,380.94,RBT,2000,Vig,Ruby
1,0,312.42,272.1,RBT,2000,Vig,Ruby
1,0,292.1,249.425,RBT,2000,Vig,Ruby
1,0,373.38,512.455,RBT,2000,Vig,Ruby
1,0,269.24,199.54,RBT,2000,Vig,Ruby
1,0,251.46,140.585,RBT,2000,Vig,Ruby
1,0,251.46,149.655,RBT,2000,Vig,Ruby
1,0,279.4,226.75,RBT,2000,Vig,Ruby
1,0,246.38,145.12,RBT,2000,Vig,Ruby
1,0,304.8,299.31,RBT,2000,Vig,Ruby
1,0,317.5,317.45,RBT,2000,Vig,Ruby
1,0,317.5,217.68,RBT,2000,Vig,Ruby
1,0,228.6,122.445,RBT,2000,Vig,Ruby
1,0,251.46,154.19,RBT,2000,Vig,Ruby
1,0,198.12,77.095,RBT,2000,Vig,Ruby
1,0,167.64,99.77,RBT,2000,Vig,Ruby
1,0,342.9,471.64,RBT,2000,Vig,Ruby
1,0,393.7,662.11,RBT,2000,Vig,Ruby
1,0,454.66,965.955,RBT,2000,Vig,Ruby
1,0,375.92,498.85,RBT,2000,Vig,Ruby
1,0,363.22,435.36,RBT,2000,Vig,Ruby
1,0,269.24,195.005,RBT,2000,Vig,Ruby
1,0,320.04,335.59,RBT,2000,Vig,Ruby
1,0,274.32,204.075,RBT,2000,Vig,Ruby
1,0,281.94,226.75,RBT,2000,Vig,Ruby
1,0,254,149.655,RBT,2000,Vig,Ruby
1,0,266.7,222.215,RBT,2000,Vig,Ruby
1,0,264.16,181.4,RBT,2000,Vig,Ruby
1,0,213.36,86.165,RBT,2000,Vig,Ruby
1,0,228.6,117.91,RBT,2000,Vig,Ruby
1,0,185.42,77.095,RBT,2000,Vig,Ruby
1,0,198.12,68.025,RBT,2000,Vig,Ruby
1,0,190.5,72.56,RBT,2000,Vig,Ruby
1,0,198.12,77.095,RBT,2000,Vig,Ruby
1,0,198.12,72.56,RBT,2000,Vig,Ruby
1,0,195.58,81.63,RBT,2000,Vig,Ruby
1,0,177.8,54.42,RBT,2000,Vig,Ruby
1,0,165.1,63.49,RBT,2000,Vig,Ruby
1,0,167.64,45.35,RBT,2000,Vig,Ruby
1,0,152.4,36.28,RBT,2000,Vig,Ruby
1,0,152.4,31.745,RBT,2000,Vig,Ruby
1,0,160.02,54.42,RBT,2000,Vig,Ruby
1,0,386.08,544.2,RBT,2000,Vig,Ruby
1,0,312.42,18.14,RBT,2000,Vig,Ruby
